age,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
30,0.0002228,0.0003411,0.0005085,0.0007384,0.0010381,0.0014061,0.0018421,0.0023271,0.0028375,0.0037769,0.003841,0.0040789,0.0049997,0.0055771,0.0059971,0.0063293,0.0066738,0.0067745,0.0067578,0.0062421,0.0049169,0.0034849,0.0026207,0.0021156,0.0017561,0.0015047,0.0013063,0.0011282,0.0009356,0.0007889,0.0006844,0.0006089,0.0005083,0.0004351,0.0003891,0.0003468,0.0003277,0.0003041,0.0002733,0.0002547,0.0002126,0.000185,0.0001685,0.0001545,0.0001415,0.0001294
31,0.0002228,0.0003411,0.0005085,0.0007384,0.0010381,0.0014061,0.0018421,0.0023271,0.0028375,0.0037769,0.003841,0.0040789,0.0049997,0.0055771,0.0059971,0.0063293,0.0066738,0.0067745,0.0067578,0.0062421,0.0049169,0.0034849,0.0026207,0.0021156,0.0017561,0.0015047,0.0013063,0.0011282,0.0009356,0.0007889,0.0006844,0.0006089,0.0005083,0.0004351,0.0003891,0.0003468,0.0003277,0.0003041,0.0002733,0.0002547,0.0002126,0.000185,0.0001685,0.0001545,0.0001415,0.0001294
32,0.0002228,0.0003411,0.0005085,0.0007384,0.0010381,0.0014061,0.0018421,0.0023271,0.0028375,0.0037769,0.003841,0.0040789,0.0049997,0.0055771,0.0059971,0.0063293,0.0066738,0.0067745,0.0067578,0.0062421,0.0049169,0.0034849,0.0026207,0.0021156,0.0017561,0.0015047,0.0013063,0.0011282,0.0009356,0.0007889,0.0006844,0.0006089,0.0005083,0.0004351,0.0003891,0.0003468,0.0003277,0.0003041,0.0002733,0.0002547,0.0002126,0.000185,0.0001685,0.0001545,0.0001415,0.0001294
33,0.0002228,0.0003411,0.0005085,0.0007384,0.0010381,0.0014061,0.0018421,0.0023271,0.0028375,0.0037769,0.003841,0.0040789,0.0049997,0.0055771,0.0059971,0.0063293,0.0066738,0.0067745,0.0067578,0.0062421,0.0049169,0.0034849,0.0026207,0.0021156,0.0017561,0.0015047,0.0013063,0.0011282,0.0009356,0.0007889,0.0006844,0.0006089,0.0005083,0.0004351,0.0003891,0.0003468,0.0003277,0.0003041,0.0002733,0.0002547,0.0002126,0.000185,0.0001685,0.0001545,0.0001415,0.0001294
34,0.0002228,0.0003411,0.0005085,0.0007384,0.0010381,0.0014061,0.0018421,0.0023271,0.0028375,0.0037769,0.003841,0.0040789,0.0049997,0.0055771,0.0059971,0.0063293,0.0066738,0.0067745,0.0067578,0.0062421,0.0049169,0.0034849,0.0026207,0.0021156,0.0017561,0.0015047,0.0013063,0.0011282,0.0009356,0.0007889,0.0006844,0.0006089,0.0005083,0.0004351,0.0003891,0.0003468,0.0003277,0.0003041,0.0002733,0.0002547,0.0002126,0.000185,0.0001685,0.0001545,0.0001415,0.0001294
35,0.0002521,0.0003892,0.0005828,0.0008442,0.0011767,0.0015771,0.0020451,0.0025656,0.0031256,0.0041576,0.0042837,0.0046171,0.0057783,0.0065005,0.0071126,0.0076503,0.0080894,0.0084405,0.0086799,0.0082198,0.0066127,0.0049593,0.0038184,0.0031201,0.0026,0.0022515,0.001952,0.001675,0.0013573,0.001129,0.0009669,0.0008436,0.0006875,0.0005816,0.0005098,0.0004395,0.0003982,0.0003511,0.0002973,0.0002632,0.0002073,0.0001742,0.0001556,0.0001411,0.0001282,0.0001176
36,0.0002521,0.0003892,0.0005828,0.0008442,0.0011767,0.0015771,0.0020451,0.0025656,0.0031256,0.0041576,0.0042837,0.0046171,0.0057783,0.0065005,0.0071126,0.0076503,0.0080894,0.0084405,0.0086799,0.0082198,0.0066127,0.0049593,0.0038184,0.0031201,0.0026,0.0022515,0.001952,0.001675,0.0013573,0.001129,0.0009669,0.0008436,0.0006875,0.0005816,0.0005098,0.0004395,0.0003982,0.0003511,0.0002973,0.0002632,0.0002073,0.0001742,0.0001556,0.0001411,0.0001282,0.0001176
37,0.0002521,0.0003892,0.0005828,0.0008442,0.0011767,0.0015771,0.0020451,0.0025656,0.0031256,0.0041576,0.0042837,0.0046171,0.0057783,0.0065005,0.0071126,0.0076503,0.0080894,0.0084405,0.0086799,0.0082198,0.0066127,0.0049593,0.0038184,0.0031201,0.0026,0.0022515,0.001952,0.001675,0.0013573,0.001129,0.0009669,0.0008436,0.0006875,0.0005816,0.0005098,0.0004395,0.0003982,0.0003511,0.0002973,0.0002632,0.0002073,0.0001742,0.0001556,0.0001411,0.0001282,0.0001176
38,0.0002521,0.0003892,0.0005828,0.0008442,0.0011767,0.0015771,0.0020451,0.0025656,0.0031256,0.0041576,0.0042837,0.0046171,0.0057783,0.0065005,0.0071126,0.0076503,0.0080894,0.0084405,0.0086799,0.0082198,0.0066127,0.0049593,0.0038184,0.0031201,0.0026,0.0022515,0.001952,0.001675,0.0013573,0.001129,0.0009669,0.0008436,0.0006875,0.0005816,0.0005098,0.0004395,0.0003982,0.0003511,0.0002973,0.0002632,0.0002073,0.0001742,0.0001556,0.0001411,0.0001282,0.0001176
39,0.0002521,0.0003892,0.0005828,0.0008442,0.0011767,0.0015771,0.0020451,0.0025656,0.0031256,0.0041576,0.0042837,0.0046171,0.0057783,0.0065005,0.0071126,0.0076503,0.0080894,0.0084405,0.0086799,0.0082198,0.0066127,0.0049593,0.0038184,0.0031201,0.0026,0.0022515,0.001952,0.001675,0.0013573,0.001129,0.0009669,0.0008436,0.0006875,0.0005816,0.0005098,0.0004395,0.0003982,0.0003511,0.0002973,0.0002632,0.0002073,0.0001742,0.0001556,0.0001411,0.0001282,0.0001176
