scenario,metric,value,low,high
HPV-Faster 18%,cancers_no_hiv,87693.80106430023,72569.1781547981,119784.40334375811
HPV-Faster 18%,cancer_deaths,86535.12965303942,73892.85304793624,111292.76829503584
HPV-Faster 18%,yll,1693849.8722906257,1244033.0876829657,2315451.193883567
HPV-Faster 18%,yld,118549.98610238242,94614.65233469587,166440.55476687083
HPV-Faster 18%,dalys,1813932.3321805885,1338647.7400176616,2481891.748650438
HPV-Faster 18%,screens,7652264.739800001,6520822.1007199995,9054668.61954
HPV-Faster 18%,ablations,997823.6300000001,622254.7299800001,1375477.5346199998
HPV-Faster 18%,leeps,43636.167700000005,31215.49744,70890.15639999999
HPV-Faster 18%,cancer_treatments,106335.2346,81523.67986,145146.10593999998
HPV-Faster 18%,vaccinations,13548955.6064,13536594.5077,13573201.23132
HPV-Faster 18%,txvs,0.0,0.0,0.0
HPV-Faster 18%,excisions,0.0,0.0,0.0
"Mass TxV 90/0, 35%",asr_cancer_incidence,816.5132568492185,740.4319881197382,1067.4199776911594
"Mass TxV 90/0, 35%",cancer_incidence,769.1458903253078,667.5108662307263,1014.2274149537086
"Mass TxV 90/0, 35%",cancer_incidence_with_hiv,4343.996747493744,3587.740539431572,4905.620357728004
"Mass TxV 90/0, 35%",cancer_incidence_no_hiv,732.8949501812458,632.6375010713934,972.1995386838912
"Mass TxV 90/0, 35%",cancers,91084.90608291463,74330.10894827954,122942.28247901052
"Mass TxV 90/0, 35%",cancers_with_hiv,4464.88824730351,3869.1726859733058,5290.847892540936
"Mass TxV 90/0, 35%",cancers_no_hiv,85802.40366768616,69447.03256847212,116697.99982225768
"Mass TxV 90/0, 35%",cancer_deaths,84940.0999283185,72684.14642708452,108736.25469371896
"Mass TxV 90/0, 35%",yll,1711228.1940127918,1185122.5445447047,2302540.945016662
"Mass TxV 90/0, 35%",yld,117403.12883809712,89227.16974709346,162507.75359338426
"Mass TxV 90/0, 35%",dalys,1828631.322850889,1274349.7142917982,2465048.6986100464
"Mass TxV 90/0, 35%",screens,7620691.813,6284680.43688,8875119.9377
"Mass TxV 90/0, 35%",ablations,1000802.208,567568.0379,1346138.5413199998
"Mass TxV 90/0, 35%",leeps,48997.6081,29219.85018,60345.99027999999
"Mass TxV 90/0, 35%",cancer_treatments,111398.81719999999,79319.53214000001,147231.11054
"Mass TxV 90/0, 35%",vaccinations,13546572.743999999,13532901.070980001,13579247.74466
"Mass TxV 90/0, 35%",txvs,3298626.2061,3077734.86162,3559102.8521999996
"Mass TxV 90/0, 35%",excisions,0.0,0.0,0.0
"Mass TxV 50/90, 35%",asr_cancer_incidence,744.8923656620346,664.5705407158911,922.9519829152995
"Mass TxV 50/90, 35%",cancer_incidence,691.3325894773006,603.8555042937398,867.3535833716392
"Mass TxV 50/90, 35%",cancer_incidence_with_hiv,3875.1022785902023,3218.374461197853,4290.03681743145
"Mass TxV 50/90, 35%",cancer_incidence_no_hiv,660.6222631931305,575.5811115801334,828.905008482933
"Mass TxV 50/90, 35%",cancers,81108.16144616243,69720.16388399317,104381.57418619137
"Mass TxV 50/90, 35%",cancers_with_hiv,4013.63369455086,3490.297582051561,4753.512442672017
"Mass TxV 50/90, 35%",cancers_no_hiv,76670.08397790938,65652.62228483065,98857.21287738612
