scenario,sim,metric,value
HPV-Faster 18%,6,excisions,0.0
HPV-Faster 18%,6,leeps,31275.069
HPV-Faster 18%,6,screens,7194159.4434
HPV-Faster 18%,6,txvs,0.0
HPV-Faster 18%,6,vaccinations,13579634.9598
HPV-Faster 18%,6,yld,108302.43056109596
HPV-Faster 18%,6,yll,1499537.7671363172
HPV-Faster 18%,7,ablations,1155390.4062
HPV-Faster 18%,7,asr_cancer_incidence,829.1797710597506
HPV-Faster 18%,7,cancer_deaths,87939.52712084226
HPV-Faster 18%,7,cancer_incidence,802.7361754179001
HPV-Faster 18%,7,cancer_incidence_no_hiv,769.4536160230637
HPV-Faster 18%,7,cancer_incidence_with_hiv,4222.58349108696
HPV-Faster 18%,7,cancer_treatments,117058.1154
HPV-Faster 18%,7,cancers,99183.65812490249
HPV-Faster 18%,7,cancers_no_hiv,94328.58314830188
HPV-Faster 18%,7,cancers_with_hiv,4170.0090368878045
HPV-Faster 18%,7,dalys,2020024.4666637639
HPV-Faster 18%,7,excisions,0.0
HPV-Faster 18%,7,leeps,53614.404
HPV-Faster 18%,7,screens,8110370.0362
HPV-Faster 18%,7,txvs,0.0
HPV-Faster 18%,7,vaccinations,13537339.1522
HPV-Faster 18%,7,yld,131862.48921882943
HPV-Faster 18%,7,yll,1888161.9774449344
HPV-Faster 18%,8,ablations,1168496.1494
HPV-Faster 18%,8,asr_cancer_incidence,825.3959826698557
HPV-Faster 18%,8,cancer_deaths,87635.71326293131
HPV-Faster 18%,8,cancer_incidence,786.3998236656189
HPV-Faster 18%,8,cancer_incidence_no_hiv,754.6046004295349
HPV-Faster 18%,8,cancer_incidence_with_hiv,3877.2916207313538
HPV-Faster 18%,8,cancer_treatments,131653.1476
HPV-Faster 18%,8,cancers,95502.13714902756
HPV-Faster 18%,8,cancers_no_hiv,90837.69018537653
HPV-Faster 18%,8,cancers_with_hiv,4047.887353268308
HPV-Faster 18%,8,dalys,2027287.4603043315
HPV-Faster 18%,8,excisions,0.0
HPV-Faster 18%,8,leeps,48550.8214
HPV-Faster 18%,8,screens,8217896.702
HPV-Faster 18%,8,txvs,0.0
HPV-Faster 18%,8,vaccinations,13562359.2074
HPV-Faster 18%,8,yld,125289.45816356229
HPV-Faster 18%,8,yll,1901998.0021407693
HPV-Faster 18%,9,ablations,619842.0818
HPV-Faster 18%,9,asr_cancer_incidence,764.1939668456148
HPV-Faster 18%,9,cancer_deaths,75932.88145241464
HPV-Faster 18%,9,cancer_incidence,687.7513411045074
HPV-Faster 18%,9,cancer_incidence_no_hiv,652.4222222566605
HPV-Faster 18%,9,cancer_incidence_with_hiv,4006.9245755672455
HPV-Faster 18%,9,cancer_treatments,81910.895
HPV-Faster 18%,9,cancers,78142.98655697145
HPV-Faster 18%,9,cancers_no_hiv,73228.33748292208
HPV-Faster 18%,9,cancers_with_hiv,4229.580597220686
HPV-Faster 18%,9,dalys,1347933.0805026833
HPV-Faster 18%,9,excisions,0.0
HPV-Faster 18%,9,leeps,31870.7846
HPV-Faster 18%,9,screens,6532915.1274
HPV-Faster 18%,9,txvs,0.0
HPV-Faster 18%,9,vaccinations,13541211.3036
HPV-Faster 18%,9,yld,95503.46196944312
HPV-Faster 18%,9,yll,1252429.6185332402
HPV-Faster 35%,0,ablations,473296.0442
HPV-Faster 35%,0,asr_cancer_incidence,575.948651242597
HPV-Faster 35%,0,cancer_deaths,57799.300392945945
HPV-Faster 35%,0,cancer_incidence,514.8432177305222
HPV-Faster 35%,0,cancer_incidence_no_hiv,490.77055564522743
HPV-Faster 35%,0,cancer_incidence_with_hiv,2950.138570547104
HPV-Faster 35%,0,cancer_treatments,67315.8628
HPV-Faster 35%,0,cancers,58201.409418707066
HPV-Faster 35%,0,cancers_no_hiv,54853.49022772123
HPV-Faster 35%,0,cancers_with_hiv,2895.177724102367
HPV-Faster 35%,0,dalys,998720.4264298534
HPV-Faster 35%,0,excisions,0.0
HPV-Faster 35%,0,leeps,19956.4726
HPV-Faster 35%,0,screens,6081958.4182
HPV-Faster 35%,0,txvs,0.0
HPV-Faster 35%,0,vaccinations,13523935.5512
HPV-Faster 35%,0,yld,70306.11039974955
HPV-Faster 35%,0,yll,928414.316030104
HPV-Faster 35%,1,ablations,1131561.7822
HPV-Faster 35%,1,asr_cancer_incidence,835.5526784908267
HPV-Faster 35%,1,cancer_deaths,90286.64699175725
HPV-Faster 35%,1,cancer_incidence,804.4015957117081
HPV-Faster 35%,1,cancer_incidence_no_hiv,766.1593110561371
HPV-Faster 35%,1,cancer_incidence_with_hiv,4132.810364961624
HPV-Faster 35%,1,cancer_treatments,122121.698
HPV-Faster 35%,1,cancers,99439.81660279205
HPV-Faster 35%,1,cancers_no_hiv,94131.99690372171
HPV-Faster 35%,1,cancers_with_hiv,4628.710034751414
HPV-Faster 35%,1,dalys,1974685.0678353633
HPV-Faster 35%,1,excisions,0.0
HPV-Faster 35%,1,leeps,58082.271
HPV-Faster 35%,1,screens,8415972.139
HPV-Faster 35%,1,txvs,0.0
HPV-Faster 35%,1,vaccinations,13562657.0652
HPV-Faster 35%,1,yld,130103.54685413858
HPV-Faster 35%,1,yll,1844581.5209812247
HPV-Faster 35%,2,ablations,908764.1478
HPV-Faster 35%,2,asr_cancer_incidence,680.8238381494073
HPV-Faster 35%,2,cancer_deaths,73293.86011403827
HPV-Faster 35%,2,cancer_incidence,643.4192013144493
HPV-Faster 35%,2,cancer_incidence_no_hiv,610.4048743247986
HPV-Faster 35%,2,cancer_incidence_with_hiv,3665.8890330791473
HPV-Faster 35%,2,cancer_treatments,98590.9318
HPV-Faster 35%,2,cancers,77970.22714384373
HPV-Faster 35%,2,cancers_no_hiv,73487.4735928053
HPV-Faster 35%,2,cancers_with_hiv,3934.701389578998
HPV-Faster 35%,2,dalys,1587395.143501404
HPV-Faster 35%,2,excisions,0.0
HPV-Faster 35%,2,leeps,46465.8168
HPV-Faster 35%,2,screens,7429467.1054
HPV-Faster 35%,2,txvs,0.0
HPV-Faster 35%,2,vaccinations,13584102.8268
HPV-Faster 35%,2,yld,100402.04410220095
