year,metric,med,pi95_low,pi95_high
2010,hiv_deaths,7931.952850341797,5182.725402832031,11322.988647460932
2011,hiv_deaths,7245.3907470703125,4615.0831497192385,10434.92561950683
2012,hiv_deaths,6080.766906738281,3672.139764404297,9296.14111328125
2013,hiv_deaths,5212.511291503906,3100.922917175293,8432.353637695312
2014,hiv_deaths,5138.047027587891,2737.015320575237,7821.894557189941
2015,hiv_deaths,3955.5514526367188,1857.06881711483,6660.0999755859375
2016,hiv_deaths,3359.8358764648438,1535.3824252843856,6020.152812194824
2017,hiv_deaths,3333.028594970703,1268.7252336502074,5751.63427734375
2018,hiv_deaths,3005.3852252960205,1519.074712753296,5426.9693603515625
2019,hiv_deaths,2719.4417114257812,1225.4613906860352,5108.410124206543
2020,hiv_deaths,2427.5409545898438,911.295902466774,4481.493815612793
2021,hiv_deaths,2129.683169364929,622.5227744221687,3937.978018188476
2022,hiv_deaths,1810.975341796875,335.015545797348,3620.536004638672
2023,hiv_deaths,1504.1818282604218,311.1869222521782,3298.8495452880857
2024,hiv_deaths,1207.8133254051208,297.8577880859375,2999.4279815673826
2025,hiv_deaths,902.509094953537,5.957156181335449,2132.6617431640625
